"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"146175914","Residència Universitària Lesseps","#","Pl","Lesseps","12","12","31","la Vila de Gràcia","06","Gràcia","08023","019","BARCELONA","41.407168","2.151154","429051.54","4584305.742","429143.459","4584506.697","932183250","Fax","","","","","","","","","Residències d'estudiants","Allotjament",
"146175914","Residència Universitària Lesseps","#","Pl","Lesseps","12","12","31","la Vila de Gràcia","06","Gràcia","08023","019","BARCELONA","41.407168","2.151154","429051.54","4584305.742","429143.459","4584506.697","902444447","Reserves","","","","","","","","","Residències d'estudiants","Allotjament",
"146175914","Residència Universitària Lesseps","#","Pl","Lesseps","12","12","31","la Vila de Gràcia","06","Gràcia","08023","019","BARCELONA","41.407168","2.151154","429051.54","4584305.742","429143.459","4584506.697","932384802","Tel.","","","","","","","","","Residències d'estudiants","Allotjament",
"146180329","Residència Universitària La Ciutadella","#","Pg","Pujades","33","37","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.391563","2.186115","431957.419","4582545.331","432049.365","4582746.271","932183250","Fax","","","","","","","","","Residències d'estudiants","Allotjament",
"146180329","Residència Universitària La Ciutadella","#","Pg","Pujades","33","37","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.391563","2.186115","431957.419","4582545.331","432049.365","4582746.271","932384802","Tel.","","","","","","","","","Residències d'estudiants","Allotjament",
"146180329","Residència Universitària La Ciutadella","#","Pg","Pujades","33","37","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.391563","2.186115","431957.419","4582545.331","432049.365","4582746.271","902444447","Reserves","","","","","","","","","Residències d'estudiants","Allotjament",
"75990016464","Col.legi Major Universitari Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934883537","Fax","","","","","","","","","Col.legis majors","Allotjament",
"75990016464","Col.legi Major Universitari Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932159912","Tel.","","","","","","","","","Col.legis majors","Allotjament",
"75990020227","Residencia Madre Isabel Larrañaga","#","Via","Augusta","289","289","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397669","2.128852","427176.871","4583269.692","427268.773","4583470.637","932032362","Tel.","","","","","","","","","Residències d'estudiants","Allotjament",
"75990020841","Residencia e Institución Javeriana","#","C","Avellà","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.385713","2.177711","431248.694","4581902.512","431340.634","4582103.445","932684354","Fax","","","","","","","","","Residències d'estudiants","Allotjament",
"75990020841","Residencia e Institución Javeriana","#","C","Avellà","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.385713","2.177711","431248.694","4581902.512","431340.634","4582103.445","933191753","Tel.","","","","","","","","","Residències d'estudiants","Allotjament",
"75990024905","Apartament Turístic Mur-Mar - ATB-000042","#","C","Rambla","34","34","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378893","2.175867","431087.321","4581146.853","431179.26","4581347.779","934125039","Fax","","","","","","","","Apartaments","Altres allotjaments","Allotjament",
"75990024905","Apartament Turístic Mur-Mar - ATB-000042","#","C","Rambla","34","34","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378893","2.175867","431087.321","4581146.853","431179.26","4581347.779","933182612","Tel.","","","","","","","","Apartaments","Altres allotjaments","Allotjament",
"75990024905","Apartament Turístic Mur-Mar - ATB-000042","#","C","Rambla","34","34","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378893","2.175867","431087.321","4581146.853","431179.26","4581347.779","933182612","Tel.","","","","","","","","","Apartaments","Allotjament",
"75990024905","Apartament Turístic Mur-Mar - ATB-000042","#","C","Rambla","34","34","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378893","2.175867","431087.321","4581146.853","431179.26","4581347.779","934125039","Fax","","","","","","","","","Apartaments","Allotjament",
"75990026619","Aparthotel Bertran - HB-003804","#","C","Bertran","150","150","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08023","019","BARCELONA","41.410408","2.139752","428102.094","4584674.847","428194.004","4584875.805","932127550","Centraleta","","","","","","","","","Apartaments","Allotjament",
"75990028628","Apartament Turístic Silver - ATB-000005","#","C","Bretón de los Herreros","26","26","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.402114","2.151199","429049.851","4583744.627","429141.77","4583945.577","934161447","Fax","","","","","","","","Apartaments","Altres allotjaments","Allotjament",
"75990028628","Apartament Turístic Silver - ATB-000005","#","C","Bretón de los Herreros","26","26","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.402114","2.151199","429049.851","4583744.627","429141.77","4583945.577","932189100","Centraleta","","","","","","","","Apartaments","Altres allotjaments","Allotjament",
"75990028628","Apartament Turístic Silver - ATB-000005","#","C","Bretón de los Herreros","26","26","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.402114","2.151199","429049.851","4583744.627","429141.77","4583945.577","932189100","Centraleta","","","","","","","","","Apartaments","Allotjament",
"75990028628","Apartament Turístic Silver - ATB-000005","#","C","Bretón de los Herreros","26","26","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.402114","2.151199","429049.851","4583744.627","429141.77","4583945.577","934161447","Fax","","","","","","","","","Apartaments","Allotjament",
"75990030639","Apartament Turístic Atenea Calabria - ATB-000001","#","C","Calàbria","129","129","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380967","2.153221","429195.909","4581395.28","429287.83","4581596.208","934264228","Tel.","","","","","","","","","Apartaments","Allotjament",
"75990030639","Apartament Turístic Atenea Calabria - ATB-000001","#","C","Calàbria","129","129","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380967","2.153221","429195.909","4581395.28","429287.83","4581596.208","934264228","Tel.","","","","","","","","Apartaments","Altres allotjaments","Allotjament",
"75990030639","Apartament Turístic Atenea Calabria - ATB-000001","#","C","Calàbria","129","129","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380967","2.153221","429195.909","4581395.28","429287.83","4581596.208","934267640","Fax","","","","","","","","","Apartaments","Allotjament",
"75990030639","Apartament Turístic Atenea Calabria - ATB-000001","#","C","Calàbria","129","129","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380967","2.153221","429195.909","4581395.28","429287.83","4581596.208","934267640","Fax","","","","","","","","Apartaments","Altres allotjaments","Allotjament",
