"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","01/10","23/12","0001011","09:00:00","14:00:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","01/10","23/12","1110111","15:00:00","18:30:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","01/10","23/12","1110111","09:00:00","14:00:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","24/12","07/01","","08:30:00","14:30:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","24/12","07/01","0000011","08:30:00","14:30:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","24/12","07/01","","08:30:00","14:30:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","08/01","31/05","0001011","09:00:00","14:00:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","08/01","31/05","1110111","09:00:00","14:00:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","08/01","31/05","1110111","15:00:00","18:30:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
"99400407034","Oficina de l'Habitatge Zona Nord","Punt d'Assessorament Energètic Zona Nord","Av","Escolapi Càncer","5","5","54","Torre Baró","08","Nou Barris","08033","019","BARCELONA","41.459853","2.181361","431631.67","4590130.504","431723.611","4590331.514","930008054","Informació","(de dilluns a divendres de 9 a 14 h)","01/06","30/09","0000011","08:30:00","14:30:00","","Punts d'assessorament energètic","Serveis socials","Serveis socials",
