ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8002296,255128000_Taco,3.26,,,,,2.1782819,41.4663138,431381.303,4590850.279,2000/01/01,
9826642,255128000_Taco,2.50,,,,,2.1624025,41.3917296,429975.165,4582582.634,2000/01/01,2020/05/26
9826662,255128000_Taco,5.00,,,,,2.1623150,41.3919463,429968.080,4582606.850,2000/01/01,2020/05/26
9826672,255128000_Taco,2.50,,,,,2.1625507,41.3918464,429987.678,4582595.510,2000/01/01,2020/05/26
9826724,255128000_Taco,5.00,,,,,2.1609550,41.3909214,429853.278,4582494.083,2000/01/01,2020/05/26
9826766,255128000_Taco,5.00,,,,,2.1635298,41.3928586,430070.619,4582707.127,2000/01/01,2020/04/28
9826796,255128000_Taco,4.99,,,,,2.1640584,41.3932601,430115.238,4582751.205,2020/04/29,2020/05/26
9826806,255128000_Taco,5.00,,,,,2.1640059,41.3932222,430110.816,4582747.128,2020/04/29,2020/05/26
9827657,255128000_Taco,4.98,,,,,2.1503062,41.3863214,428957.998,4581992.108,2000/01/01,2020/09/30
9827667,255128000_Taco,4.74,,,,,2.1503432,41.3863506,428961.116,4581995.320,2000/01/01,2020/09/30
9827755,255128000_Taco,5.00,,,,,2.1496350,41.3858119,428901.320,4581936.145,2018/02/15,2020/09/30
9827766,255128000_Taco,5.00,,,,,2.1519210,41.3875415,429094.325,4582126.209,2018/02/15,2020/09/30
9827881,255128000_Taco,5.00,,,,,2.1507388,41.3866449,428994.511,4582027.651,2020/10/01,
9829516,255128000_Taco,3.25,,,,,2.1684447,41.3965633,430485.453,4583114.494,2000/01/01,2020/08/20
9829519,255128000_Taco,3.25,,,,,2.1684540,41.3965517,430486.221,4583113.141,2020/05/27,
9829533,255128000_Taco,5.00,,,,,2.1684484,41.3968483,430486.064,4583146.066,2000/01/01,2020/08/20
9829553,255128000_Taco,5.00,,,,,2.1688667,41.3965307,430520.708,4583110.463,2000/01/01,2020/08/20
9829601,255128000_Taco,2.50,,,,,2.1666023,41.3951746,430329.964,4582961.710,2020/05/27,
