"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"75990068722","Punt Verd Mòbil *Pou de la Figuera - Jaume Giralt","#","C","Pou de la Figuera","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387447","2.179772","431422.778","4582093.406","431514.72","4582294.341","","No tenen telèfon","","01/01","31/12","0101111","10:00:00","13:30:00","","","Punt verd mòbil","Medi ambient",
"75990068722","Punt Verd Mòbil *Pou de la Figuera - Jaume Giralt","#","C","Pou de la Figuera","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387447","2.179772","431422.778","4582093.406","431514.72","4582294.341","","No tenen telèfon","","01/01","31/12","1010011","10:00:00","13:30:00","","","Punt verd mòbil","Medi ambient",
"75990068722","Punt Verd Mòbil *Pou de la Figuera - Jaume Giralt","#","C","Pou de la Figuera","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387447","2.179772","431422.778","4582093.406","431514.72","4582294.341","","No tenen telèfon","","01/01","31/12","1010011","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"75990068722","Punt Verd Mòbil *Pou de la Figuera - Jaume Giralt","#","C","Pou de la Figuera","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387447","2.179772","431422.778","4582093.406","431514.72","4582294.341","","No tenen telèfon","","01/01","31/12","0101111","10:00:00","13:30:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"75990068722","Punt Verd Mòbil *Pou de la Figuera - Jaume Giralt","#","C","Pou de la Figuera","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387447","2.179772","431422.778","4582093.406","431514.72","4582294.341","","No tenen telèfon","","01/01","31/12","1010011","10:00:00","13:30:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"75990068722","Punt Verd Mòbil *Pou de la Figuera - Jaume Giralt","#","C","Pou de la Figuera","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387447","2.179772","431422.778","4582093.406","431514.72","4582294.341","","No tenen telèfon","","01/01","31/12","1010011","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400074645","Punt Verd Mòbil *Plaça Verda de la Prosperitat","#","C","Tissó","18","18","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.443006","2.183955","431830.611","4588258.115","431922.555","4588459.107","","","","01/01","31/12","1110111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400074645","Punt Verd Mòbil *Plaça Verda de la Prosperitat","#","C","Tissó","18","18","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.443006","2.183955","431830.611","4588258.115","431922.555","4588459.107","","","","01/01","31/12","1110111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400074649","Punt Verd Mòbil *Ronda General Mitre","#","Rda","General Mitre","28","36","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.393999","2.133181","427534.696","4582858.63","427626.602","4583059.571","","","","01/01","31/12","1011111","08:30:00","14:00:00","","","Punt verd mòbil","Medi ambient",
"99400074649","Punt Verd Mòbil *Ronda General Mitre","#","Rda","General Mitre","28","36","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.393999","2.133181","427534.696","4582858.63","427626.602","4583059.571","","","","01/01","31/12","1011111","08:30:00","14:00:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400074651","Punt Verd Mòbil *Plaça Trinitat","#","Pl","Trinitat","1","1","57","la Trinitat Vella","09","Sant Andreu","08033","019","BARCELONA","41.450186","2.190741","432404.963","4589049.896","432496.912","4589250.896","","","","01/01","31/12","1011111","08:30:00","14:00:00","","","Punt verd mòbil","Medi ambient",
