"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Cap dona",4398
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Cap dona",1716
2019,1,"Ciutat Vella",3,"la Barceloneta","Cap dona",1603
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap dona",2503
2019,2,"Eixample",5,"el Fort Pienc","Cap dona",1900
2019,2,"Eixample",6,"la Sagrada Família","Cap dona",3216
2019,2,"Eixample",7,"la Dreta de l'Eixample","Cap dona",3311
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap dona",3281
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap dona",3918
2019,2,"Eixample",10,"Sant Antoni","Cap dona",2834
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Cap dona",2938
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap dona",108
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Cap dona",1635
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap dona",684
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Cap dona",1092
2019,3,"Sants-Montjuïc",16,"la Bordeta","Cap dona",1055
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Cap dona",1410
2019,3,"Sants-Montjuïc",18,"Sants","Cap dona",2563
2019,4,"Les Corts",19,"les Corts","Cap dona",2489
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap dona",1197
2019,4,"Les Corts",21,"Pedralbes","Cap dona",483
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap dona",225
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap dona",1132
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap dona",590
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap dona",1180
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap dona",2392
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap dona",1703
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Cap dona",990
2019,6,"Gràcia",29,"el Coll","Cap dona",430
2019,6,"Gràcia",30,"la Salut","Cap dona",717
2019,6,"Gràcia",31,"la Vila de Gràcia","Cap dona",3979
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap dona",2054
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap dona",1460
2019,7,"Horta-Guinardó",34,"Can Baró","Cap dona",604
2019,7,"Horta-Guinardó",35,"el Guinardó","Cap dona",2237
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap dona",452
2019,7,"Horta-Guinardó",37,"el Carmel","Cap dona",1652
2019,7,"Horta-Guinardó",38,"la Teixonera","Cap dona",663
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap dona",378
2019,7,"Horta-Guinardó",40,"Montbau","Cap dona",328
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap dona",283
2019,7,"Horta-Guinardó",42,"la Clota","Cap dona",49
2019,7,"Horta-Guinardó",43,"Horta","Cap dona",1296
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap dona",1265
2019,8,"Nou Barris",45,"Porta","Cap dona",1265
2019,8,"Nou Barris",46,"el Turó de la Peira","Cap dona",834
2019,8,"Nou Barris",47,"Can Peguera","Cap dona",145
2019,8,"Nou Barris",48,"la Guineueta","Cap dona",663
2019,8,"Nou Barris",49,"Canyelles","Cap dona",315
2019,8,"Nou Barris",50,"les Roquetes","Cap dona",810
2019,8,"Nou Barris",51,"Verdun","Cap dona",703
2019,8,"Nou Barris",52,"la Prosperitat","Cap dona",1345
2019,8,"Nou Barris",53,"la Trinitat Nova","Cap dona",479
2019,8,"Nou Barris",54,"Torre Baró","Cap dona",153
2019,8,"Nou Barris",55,"Ciutat Meridiana","Cap dona",456
2019,8,"Nou Barris",56,"Vallbona","Cap dona",89
2019,9,"Sant Andreu",57,"la Trinitat Vella","Cap dona",529
2019,9,"Sant Andreu",58,"Baró de Viver","Cap dona",170
2019,9,"Sant Andreu",59,"el Bon Pastor","Cap dona",576
2019,9,"Sant Andreu",60,"Sant Andreu","Cap dona",2989
2019,9,"Sant Andreu",61,"la Sagrera","Cap dona",1440
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Cap dona",805
2019,9,"Sant Andreu",63,"Navas","Cap dona",1093
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Cap dona",2450
2019,10,"Sant Martí",65,"el Clot","Cap dona",1459
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Cap dona",1045
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Cap dona",544
2019,10,"Sant Martí",68,"el Poblenou","Cap dona",2095
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Cap dona",866
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Cap dona",1207
2019,10,"Sant Martí",71,"Provençals del Poblenou","Cap dona",1102
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Cap dona",1281
2019,10,"Sant Martí",73,"la Verneda i la Pau","Cap dona",1353
2019,1,"Ciutat Vella",1,"el Raval","1 dona",7603
2019,1,"Ciutat Vella",2,"el Barri Gòtic","1 dona",3137
2019,1,"Ciutat Vella",3,"la Barceloneta","1 dona",3800
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 dona",5259
2019,2,"Eixample",5,"el Fort Pienc","1 dona",6908
2019,2,"Eixample",6,"la Sagrada Família","1 dona",12193
2019,2,"Eixample",7,"la Dreta de l'Eixample","1 dona",9664
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 dona",9548
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 dona",13474
2019,2,"Eixample",10,"Sant Antoni","1 dona",8802
2019,3,"Sants-Montjuïc",11,"el Poble Sec","1 dona",8287
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 dona",218
2019,3,"Sants-Montjuïc",13,"la Marina de Port","1 dona",6364
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 dona",2303
2019,3,"Sants-Montjuïc",15,"Hostafrancs","1 dona",3620
2019,3,"Sants-Montjuïc",16,"la Bordeta","1 dona",4390
2019,3,"Sants-Montjuïc",17,"Sants - Badal","1 dona",5576
2019,3,"Sants-Montjuïc",18,"Sants","1 dona",9624
2019,4,"Les Corts",19,"les Corts","1 dona",10823
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 dona",5392
