"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"1156115521","Hort Urbà Masia Can Soler","#","Ctra","Sant Cugat","114","132","39","Sant Genís dels Agudells","07","Horta-Guinardó","08035","019","BARCELONA","41.425028","2.13071","427362.713","4586305.556","427454.616","4586506.529","010","Informació","","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"1156115521","Hort Urbà Masia Can Soler","#","Ctra","Sant Cugat","114","132","39","Sant Genís dels Agudells","07","Horta-Guinardó","08035","019","BARCELONA","41.425028","2.13071","427362.713","4586305.556","427454.616","4586506.529","010","Informació","","","","","","","","","Horts urbans","Medi ambient",
"98180122541","Hort Urbà Masia Can Mestres","#","Camí","Can Clos","1","9","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.359715","2.145165","428499.036","4579042.548","428590.952","4579243.454","010","Informació","","16/09","21/06","1111100","10:00:00","14:00:00","","","Horts urbans","Medi ambient",
"98180122541","Hort Urbà Masia Can Mestres","#","Camí","Can Clos","1","9","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.359715","2.145165","428499.036","4579042.548","428590.952","4579243.454","010","Informació","","16/09","21/06","1111100","10:00:00","14:00:00","","Horts urbans","Medi ambient","Medi ambient",
"99400100007","Hort Urbà de l'Avi","#","C","Torrent del Remei","2","2","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.415613","2.148238","428817.036","4585245.697","428908.953","4585446.661","010","Informació","","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"99400100007","Hort Urbà de l'Avi","#","C","Torrent del Remei","2","2","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.415613","2.148238","428817.036","4585245.697","428908.953","4585446.661","010","Informació","","","","","","","","","Horts urbans","Medi ambient",
"99400100012","Hort Urbà de Turull","#","Ptge","Turull","10","12","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.413494","2.147797","428777.861","4585010.869","428869.777","4585211.83","010","Informació","","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"99400100012","Hort Urbà de Turull","#","Ptge","Turull","10","12","28","Vallcarca i els Penitents","06","Gràcia","08023","019","BARCELONA","41.413494","2.147797","428777.861","4585010.869","428869.777","4585211.83","010","Informació","","","","","","","","","Horts urbans","Medi ambient",
"99400100015","Hort Urbà Parc de la Trinitat","#","Pg","Santa Coloma","60","60","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.446834","2.195361","432787.406","4588674.208","432879.358","4588875.205","010","Informació","","","","","","","","","Horts urbans","Medi ambient",
"99400100015","Hort Urbà Parc de la Trinitat","#","Pg","Santa Coloma","60","60","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.446834","2.195361","432787.406","4588674.208","432879.358","4588875.205","010","Informació","","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"99400100016","Hort Urbà Masia Can Cadena","#","C","Menorca","27","27","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.420805","2.198194","432997.291","4585782.336","433089.246","4585983.306","010","Informació","","16/09","21/06","1111100","10:00:00","14:00:00","","Horts urbans","Medi ambient","Medi ambient",
"99400100016","Hort Urbà Masia Can Cadena","#","C","Menorca","27","27","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.420805","2.198194","432997.291","4585782.336","433089.246","4585983.306","010","Informació","","16/09","21/06","1111100","10:00:00","14:00:00","","","Horts urbans","Medi ambient",
"99400170336","Hort Urbà Torre Melina","#","Camí","Torre Melina","15","15","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.377183","2.111424","425696.692","4581010.164","425788.581","4581211.088","010","Tel.","Informació","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"99400170336","Hort Urbà Torre Melina","#","Camí","Torre Melina","15","15","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.377183","2.111424","425696.692","4581010.164","425788.581","4581211.088","010","Tel.","Informació","","","","","","","","Horts urbans","Medi ambient",
"99400180128","Hort Urbà Sagrada Família","#","C","Padilla","199","201","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.402677","2.180647","431511.95","4583783.419","431603.892","4583984.37","010","Informació","","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"99400180128","Hort Urbà Sagrada Família","#","C","Padilla","199","201","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.402677","2.180647","431511.95","4583783.419","431603.892","4583984.37","010","Informació","","","","","","","","","Horts urbans","Medi ambient",
"99400183714","Hort Urbà de Sant Pau del Camp","#","C","Abat Safont","12","12","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375793","2.169254","430530.998","4580807.927","430622.932","4581008.85","010","Informació","","","","","","","","Horts urbans","Medi ambient","Medi ambient",
"99400183714","Hort Urbà de Sant Pau del Camp","#","C","Abat Safont","12","12","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375793","2.169254","430530.998","4580807.927","430622.932","4581008.85","010","Informació","","","","","","","","","Horts urbans","Medi ambient",
"99400186258","Hort Urbà Collserola","#","C","Carles Pirozzini","2","2","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.416356","2.134459","427666.363","4585339.691","427758.269","4585540.655","010","Tel.","Informació","","","","","","","","Horts urbans","Medi ambient",
"99400186258","Hort Urbà Collserola","#","C","Carles Pirozzini","2","2","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.416356","2.134459","427666.363","4585339.691","427758.269","4585540.655","010","Tel.","Informació","","","","","","","Horts urbans","Medi ambient","Medi ambient",
